Deity,Temple Name,Moolavar,Urchavar,Amman / Thayar,Thala Virutcham,Theertham,Agamam / Pooja,Old year,Historical Name,City,District,State,Festival,  Temple's Speciality,Opening Time,Address,Phone Number
274 Sivalayam,sri Saraparameswarar temple,Saraparameswarar,NA,"Gnanambikai, Gnanavalli",Mavilangai,"Markandeya theerthem, Bindhu Sudha theertham",NA,1000 2000 years old,NA,Tirucherai,Thanjavur,Tamil Nadu,"Mahashivarathri in Masi (February March), Iypasi Annabishekam (October November) and Margazhi Tiruvadhirai (December January).","Lord Shiva graces in the temple as Swaymbumurthi. He is worshipped as Rina Vimochana Lingeswarar meaning that He relieves the devotees from debts. This is the only temple where three Durgas are present as Shiva Durga, Vaishnavi Durga and Vishnu Durga. Saint Tirunavukkarasar has praised the Bhairava in the temple with a special hymn. Bhairava graces here with a tattoo on the left upper arm with a trident and bell, a form exclusively seen only in this temple. The rays of Sun falls directly on the presiding deity and the feet of the Mother on 13, 14 and 15th of Masi (February March). The holy tree Mavilangai will have only leaves for first four months of the year, only white flowers during the second four months and nothing during the remaining four months.",The temple is open from 7.30 a.m. to 1.00 p.m. and 4.00 p.m. to 9.00 p.m.,"Sri Saraparameswarar Temple, Tirucherai Post – 612 605, Kumbakonam Taluk, Thanjavur district",+91 435 246 8001
274 Sivalayam,sri Valeeswarar temple,"Valeeswarar, Koyyamalarnathar",NA,Irayarvalai Ammai,Ilandhai,"Kakkaimadu theertham, Vayasai theertham",Puja procedure : Kameegam,1000 2000 years old,NA,Kuranganilmuttam,Tiruvannamalai,Tamil Nadu,"Lakhadeepam (one lakh lamps) in Tirukarthikai in November December, Shivarathri in Masi (February March) and Annabishekam are the festivals celebrated in the temple.",Presiding deity Sri Valeeswarar graces in the form of Swyambulinga facing West. The rays of Sun fall on the Lord on certain days in the month of Chithirai (April May). The temple is situated on the southern bank of Palaru river. Lord,The temple is opened from 7.00 a.m. to 9.00 a.m. and 5.00 p.m. to 7.00 p.m.,"Sri Valeeswarar Temple Priest, Dhusi Post, Via Mamandur, Kuranganilmuttam – 631 702, Thiruvannamalai district","+91 94456 42409, 98946 99095, 72999 04344"
Murugan,sri Subramaniar temple,Subramaniar,NA,NA,NA,NA,NA,500 1000 years old,NA,"Chengam, Vilvarani",Tiruvannamalai,Tamil Nadu,All monthly Kruthika days and the Kruthika in particular in the month of Aadi (July August) are festival days in the temple. 10 day Panguni Uthiram (March April) is very famous here when Lord Muruga comes down from the hills on the fifth day. The car festival takes place on the seventh day. A car is specially made for the festival at a cost of Rs. 16 lakhs.,Lord Muruga graces in the temple in Swyambulinga form.,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 a.m. to 8.00 p.m.,"Sri Subramaniar Temple, Chengam, Vilwarani, Tiruvannamalai district.",NA
274 Sivalayam,sri Sakalabhuvaneswarar Mekalambika temple,Sakalabhuvaneswarar,Panchamurthy,"Mekalambika, Soundaryanayaki","Mandarai, Vilwa",Suryapushkarini,NA,1000 2000 years old,Tirumeeyachur,Tirumeeyachur,Tiruvarur,Tamil Nadu,Rathasapthami in the Month of Thai is an important festival in the temple. This festival signs the turning of Sun’s Ratha (car) marking the beginning of Utharayana period from the month of Thai (January February) towards North from the South. Utharayana covers six months beginning from Thai to Aani month (June July). All festivals related to Lord Shiva and Mother Ambika are celebrated in the temple in a grand manner.,"Lord Shiva (Sakalabhuvaneswarar) is a swayambumurthy. Mother Lalithambika is seated on the Srichakra throne with Her Abhaya, Varada hastha Mudras, placing her right leg on the left majestically. Ambika is very powerful.",The temple is open from 7.00 a.m. to 12.30 p.m. and 4.30 p.m. to 8.30 p.m.,"Sri Mekalambika Sakalabuvaneswarar Temple, (Lalithambika Temple), Tirumeeyachur – 609 405, Tiruvarur district.","+91 4366 239 170, 75988 46292, 94431 13025"
sivan,sri Piravi Marundeeswarar temple,Piravi Marundeeswarar,NA,"Bruhan Nayaki, (Periyanayaki)",NA,NA,NA,1000 2000 years old,NA,Tiruthuraipoondi,Tiruvarur,Tamil Nadu,Chithirai festival (April May) is very famous. Navarathri during September October and Shivarathri during February March are the festivals celebrated in the temple.,Lord Shiva is the Gajasamhara Murthy (killing a demon in the form of an elephant). It is believed that worshipping the Lord on New Moon and Full Moon days would free the devotee from any fear in his/her mind. The Lord also destroys th,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.00 p.m.,"Sri Piravi Marundeeswarar Temple, Tiruthuraipoondi, Tiruvarur district.","+91 4369 222 392, 99442 23644, 98652 79137"
Amman,sri Mariamman temple,Mari Amman,NA,"Mari Amman, Durga","Vembu, Arasu (Neem, Bodhi)",Teppakulam – float festival tank,NA,1000 2000 years old,Mamandur,Teppakulam,Madurai,Tamil Nadu,The temple celebrates 10 day Panguni Brahmmotsavam in March April.,"Mother Mariamman as the custodian deity of Madurai is blessing the devotees with boons they wish. Before commencing the festivals in other temples of Madurai, the first puja is dedicated to Mariamman of this temple.",The temple is open from 6.00 a.m. to 9.00 p.m. continuously.,"Sri Mariamman Temple, Teppakulam, Madurai 625 009.",+91 452   2311 475.
sivan,sri Marudandhanadheswarar temple,Sri Marudandhanadheswarar,NA,Sundara Kanchani,NA,NA,NA,1000 2000 years old,NA,Aangarai near Lalgudi,Thiruchirapalli,Tamil Nadu,"Tamil New Year day falling almost on April 14 each year, Vaikasi Visakam in May June, Aadi Kruthikai in June July, Vinayak Chaturthi mostly during August September, Navarathri during September October, Skanda Sashti in October November, Tirukarthikai in November December, Panguni Uthiram in March April are the festivals celebrated in the temple with special pujas.",The shrines of Lord and Mother are constructed in such a way side by side that the devotee can go round both at the same time. This model is very rare.,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.00 p.m.,"Sri Marudandhanadheswarar Temple, Lalgudi Aangarai, Tiruchi district",NA
274 Sivalayam,sri Kalathiappar temple,"Kalathiappar, Kalatheeswarar",NA,"Gnanaparasunambikai, Gnanapoongothai,Gnanasundari",Vilwa,River Ponmuhali (also Swarnamukhi river),NA,2000 3000 years old,Seekalathi,Kalahasthi,Chittoor,Andhra Pradesh,"Masi festival in January February, Mahasivarathri in January February, Thirukarthigai in November December, Oonjal festival on all Fridays, Makara Sankranthi (Pongal) in January and Giri Valam on Shivrathri day.","Sri Kalathinathar is a Swaymbumurthi blessing the devotees. As Kalahasthi belongs to the Vayu (wind) nature of the Panchaboodha shrines, the lamp in the sanctum sanctorum will be always oscillating.",The temple is open from 5.00 a.m. to 12.00 a.m. and 5.00 p.m. to 9.00 p.m.,"Sri Kalathiappar Temple, Kalahasthi, Andhra Pradesh.",+91 8578 222 240
Perumal,sri Srinivasaperumal temple,Srinivasaperumal,Kalyana Srinivasar,Alamelumangai,Gooseberry,Padmagiri Theertham,Pancharatham,500 1000 years old,Padmachalam,"Malaikottai Adivaram, Dindigul",Dindigul,Tamil Nadu,"Chitra Poornima in April May, 13 day Brahmmotsava in the month of Aani (June July), Aadi Pooram in July August, Navarathri in September October, Vaikunta Ekadasi in Margazhi (December January), Hanumath Jayanthi and Panguni Uthiram in March April.","Chakkarathazhwar has a separate shrine in the temple. The idol has all the 10 incarnations of Lord Vishnu carved around. Lord Narasimha, behind Chakkarathazhwar is holding the disc (Chakkaram) in all four hands with a snake at His feet. Also Ashta",From 6.30 a.m. to 12.00 a.m. and 4.00 p.m. to 8.30 p.m.,"Sri Srinivasaperumal Temple, Malaikottai Adivaram, Dindigul – 624 001, Dindigul district. Telephone No. +91 451 2433 229","+91  451   2433 229,99652 54227"
Perumal,sri Kadir Narasingaperumal temple,Kadir Narasingaperumal,Sri Narasimha,Kamalavalli,NA,Well water,Pancharatra,500 1000 years old,NA,Reddiarchatram,Dindigul,Tamil Nadu,Narasimha Jayanthi in Vaikasi (May June). All Saturdays in the month of Purattasi (September October) and Vaikunta Ekadasi in Margazhi – December January.,"In the sanctum sanctorum, Lord Shiva graces as a Swayambumurthi along with Lord Vishnu. The shrine is noted for its importance for relief from the afflictions of Sun God. Chakkarathazhwar appears wearing a crown of fire flames in a separate shrine.",The temple is open from 7.30 a.m. to 6.30 p.m.,"Sri Kadir Narasingaperumal temple, Kothapalli, Reddiarchatram, – 624 622. Dindigul dist. Phone +91 451 2554 324",+91  451   2554 324
Murugan,sri Subramaniaswamy temple,Subramaniar,Dandayuthar,NA,NA,Valli Deivanai theertham,NA,500 1000 years old,Malaikinaru,Thirumalaikeni,Dindigul,Tamil Nadu,"Chitra Poornima in the month of April May, Vaikasi Visakam (May June), Kruthika in Aadi (July August) and Karthigai (November December),Skanda Sashti in Iypasi ((October November), Thirukarthigai (November December) and Thai Poosam (January February).",A two tier temple with a Muruga shrine at the ground and one at the top of the hill.,The temple is open from 6.00 a.m. to 1.00 p.m. and 2.00 p.m. to 6.00 p.m.,"Shri Subramaniaswamy Temple, Thirumalaikeni   624 306, Sengurichi Post, Dindigual district.","+91 451   205 0260, 96268 21366"
Perumal,sri Narasimha Perumal temple,Narasimha Perumal,NA,"Sridevi, Bhoodevi",NA,Kudaganaru,Pancharatra,500 1000 years old,NA,Vedasendhur,Dindigul,Tamil Nadu,"Vaikunda Ekadasi in Margazhi (December January), Hanuman Jayanthi, Karthikai Poornima in November December.","The Lord, though called Narasimha Perumal does not have the Lion face. The Lord appears in the sanctum sanctorum with His conch and discus with hands assuring safety to devotees (Abhaya Mudra) and offering boons (Varadha Mudra). The Lord was too fu",The temple is open only on Saturdays from 7.30 a.m. to 9.00 a.m. and 4.00 p.m. to 9.00 p.m. and not on other days of the week. Devotees going to the temple on other days may contact the temple priest for darshan of the Lord.,"Sri Narasimhaswami Temple, Vedasendhur – 624 710, Dindigul district.","+91  4551   261 265, 99526 46389."
108 Divya Desam,sri Dwarakanath temple,Dwarakanathar (Dwarakeesh),NA,"Bhama, Rukmini, Radha",NA,NA,NA,3000 years old,Sudhamapuri,Dwaraka,Ahmedabad,Gujarat,"Gokhulashtami Lord Krishna’s birthday, Deepavali, Holi and curd pot festival called Mudkopat. Women perform a dance called Bhawan Beta on the Gokhulashtami day with 52 pots on their heads expressing their deep devotion to Lord Krishna",The place was once known as Sudhamapuri. This is the birth place of Sudhama popularly known as Kuchela in Bhagawatha Purana. The temple has five storey with 60 sculptures of exquisite beauty attracting tourists. The sanctum sanctorum is in the gro,The temple is open from 7.00 a.m. to 12.30 p.m. and 5.00 p.m. to 9.30 p.m.,"Sri Dwarakanath (Dwarakeesh Jagat Mandir) Temple, Dwaraka, Ahmedabad, Gujarat State.","+91 2892 235109, 234 080"
Other Temples,sri Swami Narayana temple,Swami Narayanar,NA,NA,NA,NA,NA,500 years old,NA,Akshardam,Ahmedabad,Gujarat,deepavali,The idol of Swami Narayana is seven feet tall and is made of gold,The temple is opened from 9.00 a.m. to 7.30 p.m.,"Sri Swami Narayana Temple, Akshardam, Ahmedabad, Gujarat state",+91 79   23260001 2
Perumal,sri Chaturpuja Kodandaramar temple,Chaturpuja Kodandaramar,NA,NA,NA,"Devaraja Pushkarini, Sesha Theertham",Vaikanasam,500 1000 years old,Ponpadarkoodam,Ponpatharkoodam,Kanchipuram,Tamil Nadu,"Sri Rama Navami in Panguni (March April), also wedding festival in the same month on Panguni Uthiram day and Thirukarthikai in November December.",The procession deity is very beautifully made with such clarity in the finger lines (rekkhas) and the nail. Shri Mahalakshmi appears on the chest of the Lord as Rama appears here in the form of Mahavishnu.,The temple is open from 6.00 a.m. to 7.00 a.m. and from 5.00 p.m. to 6.00 p.m. The devotees are advised to get in touch with the priest for darshan during other timings.,"Sri Chaturpuja Kodandarar Temple, Via P.V. Kalathur, Ponpadharkoodam – 603 405, Kancheepuram district.","+91  44   2744 1227, 97890 49704"
sivan,sri Munkudumeeswarar Temple temple,Munkudumeeswarar,Chandrasekharar,Meenakshi,Vilwa,Vilwa theertham,Shivagama,500 1000 years old,NA,Pon Vilaindha Kalathur,Kanchipuram,Tamil Nadu,"Brahmmotsavam in Panguni (March April), Chitra Poornima (April May), Adipooram in July August, Annabishekam in Iypasi (October November), Navarati in Purattasi (September October), Skanda Sashti in October November, Thirukarthigai in November December, Shivarathri in Vaikasi (May June), and Thiruvadhirai in Margazhi (December January)","The speciality is the tuft in the head part of the Shivalinga. During the Brahmmotsava, in the place of Chandikeswara, Kootruva Nayanar comes in procession.","The temple is open from 6.00 a.m. to 7.00 a.m. and 5.00 p.m. to 6.00 p.m. For dharsan during other hours, devotees may get in touch with the temple priest for the arrangement.","Sri Munkudumeeswarar Temple, P.V. Kalathur – 603 405, Kancheepuram district. Telephone: +91 97890 49704 and +91 99624 67355","+91  97890 49704, +91  99624 67355."
Amman,sri Mullaikal Rajarajeswari temple,"Rajarajeswari, Mullaikal Bhagavati",NA,NA,NA,NA,NA,1000 2000 years old,NA,Alappuzha,Alappuzha,Kerala,"Sandal abhishek to the Goddess for 41 days commencing from Karthikai 1 to Margazhi 11 (occurring during November to January), special poojas from Margazhi 1 to 11 (almost during December month), a special pooja is performed by Beema Jewellery on Margazhi 11. Navarathi festival is grandly celebrated in Purattasi (September October) with special poojas on Saraswathi Pooja Day. Panchamirta (made of five fruits with jaggery, ghee etc.) abhishek is performed every day.","Goddess Rajeswari graces devotees facing the West. The idol is five feet tall. While devotees worship the Mother from a shadowed shelter, Mother graces from the open space under the Sun. During the festival, sandal abishek is performed all the 41 days. The cost of he sandal abishek is Rs. 8000.",The temple is open from 5.00 a.m. to 11.30 a.m. and 5.00 p.m. to 8.00 p.m.,"Sri Mullaikal Rajarajeswari temple, Alappuzha, Kerala.","+91  477   226 2025, 225 1756"
Murugan,sri Ettukudi Murugan temple,Lord Muruga,NA,NA,Vanni tree,Saravana Poigai,NA,500 1000 years old,NA,Ettukudi,Nagapattinam,Tamil Nadu,"Chitra poornima (April May) festival is celebrated for 10 days continuously. The temple will be opened on the previous day would not be closed till the following day of Poornima full moon, when milk abishek would be performed continuously. Devotees would be thronging in thousands with their Milk Pot Kavadis – minimum 23,000. Skanda Sashti is celebrated for six days in Iypasi (October November) and Vishakam in Vaikasi (May June) for a day. For the Ammai Appa in the temple (Shiva and Shakti) Tiruvadhirai is celebrated in Margazhi (December January). Kruthika is celebrated every month.","A Siddha, Vanmeekar by name attained Samadhi in this place. The Samadhi is under the Vanni tree in the temple.",The temple is open from 4.30 a.m. to 12.30 a.m. and 4.30 p.m. to 9.00 p.m.,"Sri Ettukudi Murugan Temple, Ettukudi – 610 212, Nagapattinam district.",+91  4366 245 426
Perumal,sri Karivaradaraja Perumal temple,Karivaradaraja Perumal,NA,Kamalavalli,Vilwa,NA,NA,500 1000 years old,NA,Aarakazhur,Salem,Tamil Nadu,"Vaikunda Ekadasi in Margazhi (December January), all Saturdays in the month of Purattasi and Navarathri (September October).",A shrine offering remedies to adverse effects of Nagadoshas – snake planets related problems.,From 5.00 a.m. to 7.30 a.m. and 6.00 p.m. to 7.30 p.m.,"Sri Karivaradaraja Perumal Temple, Aarakazhur, Salem district.","+91  4282 260248, +91 99946 31830"
Ayyappan,sri Aiyappan temple,Aiyappan,NA,NA,NA,NA,NA,500 years old,NA,Sasthanagar,Salem,Tamil Nadu,Makara Jyoti: This festival is very grandly celebrated in the temple every year. The deity is carried on a Jewel studded seat (thiruvabarana Petti) placed on an elephant after performing the Aarattu in the Cauvery Bhavani confluence. The camphor is burnt (Karpoora Jyoti) on the Koosa hills. Ganapathi Homam (Vinayaka worship) is performed each day for purifying the temple and the doors would be closed at night with Hariharavachanam.,The speciality in the temple is the puja performed to Sani Bhagwan (Saturn planet) for relief. The tickets for performing he Ghee Abishek in Sabarimala (the main Sastha temple in Kerala state) are issued in this temple.,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.00 p.m.,"Sri Aiyappan Temple, Sasthanagar, Salem district.",+91 9842743430
sivan,sri Arappaleeswarar temple,Arappaleeswarar,NA,Mother Thayammai,NA,NA,NA,500 1000 years old,NA,Kollimalai,Salem,Tamil Nadu,"Adi Perukku (July August), Maha Shivarathri in Vaikasi (May June), Navarathri in Purattasi (September October), Karthikai Deepam in November December, Annabishekam and Tirvadhirai in Margazhi (December January).","Lord Shiva is a swayambumurthi. A scar on the head of the Shivalinga is visible caused by a hit of a plough. The construction of the shrine is such that a devotee could enjoy the darshan of Lord Arappaleeswarar, Mother Thayammai, Lord Vinayaka and Lord Muruga standing from a single spot","The temple is open from 7.00 a.m. to 1.00 p.m. and 2.30 p.m. to 7.00 p.m. During the festival days, the temple is open from 6.00 a.m. to 10.00 p.m.","Shri Arappaleeswarar Temple, Kollimalai, Salem district.",+91  97866 45101
Amman,sri Ellaipidari Amman temple,Ellaipidari Amman,NA,NA,NA,NA,NA,500 years old,NA,Kumarasamipatti,Salem,Tamil Nadu,A five day festival is grandly celebrated in the temple in the month of Panguni (March April).,Goddess graces facing West.,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.00 p.m.,"Sri Ellaipidari Amman Temple, Kumaraswamipatti, Salem district.",NA
Amman,sri Kannudaya Nayaki temple,Kannudaya Nayaki amman,NA,NA,NA,NA,NA,500 1000 years old,NA,Nattarasankottai,Sivaganga,Tamil Nadu,"The Pujas in the temple are performed by Uvachar dynasty belonging to the Parasaiva community. The hoisting of the flag for the Brahmmotsava festival begins in the presence of Sivacharyas and Sri Vaishnava Battacharyas according to Agama (procedure) rules. This is 10 day festival in Vaikasi (May June). 10 day Aipasi (October November) Kolatta festival, 10 day Thailakappu festival in Thai (January February) and the Tuesday (Sevvai) festival are very famous. 48 days Kaliyatta Vizha is celebrated once in 12 years. During these days, Goddess graces from two houses in the form of paintings on the walls. Kaliyatta Kannudai Nayaki graces in a sitting form in a silver chariot with 8 hands on the Swati Star day in the month of Vaikasi (May June). It is a procession of pleasing royal elegance. 10 day Mulaikottu festival is celebrated in Adi month (July August). The seeds are sown in 9 earthern bowls and 1 golden bowl. The golden bowl is carried by the deity Adi Poornima day in a grand procession in the morning. 10 day Navaratri festival is celebrated in Purattasi (September October). After 9 days celebrations in the temple, on the 10th day, Vijayadasami day, Goddess comes in procession on a horse Vahana vehicle. During the Navaratri festivals, Laksharchanas (performing archanas chanting the glory of the Goddess with one lakh names) are performed. On the Tirukarthika day, Mother Kannudaya Nayaki graces the devotees in a procession on the Swan Vahana. The Chokkapanai is burnt that day. This is a tall post covered by palm leaves, lighting a lamp at the top. After lighting this top lamp, the Chokkapanai is burnt from the bottom.",Goddess Kannudaya Nayaki is a swayambumurthi.,The temple is open from 6.00 a.m. to 1.00 p.m. and 4.00 p.m. to 8.30 p.m.,"Sri Kannudayanayaki Amman Temple, NattarasanKottai, Sivaganga district.",+91 4575 234220
274 Sivalayam,sri Pasupatheeswarar temple,"Pasupatheeswarar, Aswanthanathar, Avurudayar",NA,"Mangalambikai, Pankajavalli",Arasu – called peepal tree in scriptures,"Brahmma, Kamadenu, Chandra, Agni, Kamadenu theertham is now called as Thena theertham.",NA,1000 2000 years old,"Avur Pasupatheeswaram (Manikudam, Ashwathavanam)",Avur (Govindakudi),Thanjavur,Tamil Nadu,"Shivarathri in Vaikasi (May June), Annabishekam in Iypasi (October November) and Thiruvadhirai in Margazhi (December January).",Presiding deity Lord Pasupatheeswarar is Swayambu in Linga form. There are five Bhairavars in standing form worshipping Lord Shiva. Hence the place is called Pancha Bhairava Thalam. Lord Muruga in the temple graces with a bow in hand.,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.30 p.m.,"Sri Pasupatheeswarar Temple, Avur Post, Via Kumbakonam, Valangaiman Taluk, Thanjavur district – 612 701.",+91 94863 03484
274 Sivalayam,sri Chakravakeswarar temple,Chakravakeswarar,NA,Devanayaki,Vilwa,River Cauveri and Kaka theertham,NA,1000 2000 years old,Ayyampettai,Chakkarapalli,Thanjavur,Tamil Nadu,"Panguni Uthiram (March April), Shivarathri in Vaikasi (May June), Annabishekam in Iypasi (October November) and Thiruvadirai in Margazhi (December January).",The Presiding deity is majestically tall and is a Swayambu Linga. The shrine is praised in Tirupugazh by Saint Arunagirinathar,The temple is open from 8.00 a.m. to 9.00 a.m. and 5.00 p.m. to 7.00 p.m.,"Sri Chakravakeswarar Temple, Ayyampettai, Thanjavur Dist.",+91 4374 311 018
sivan,sri Kasi Viswanathar temple,Kasi Viswanathar,NA,Kunkuma Sundari,Vilwa,Cauvery theertham,NA,500 1000 years old,Umayalpuram,Umayalpuram,Thanjavur,Tamil Nadu,Wedding festival is celebrated grandly in the month of Vaikasi (May June) when Sri Lakshminarayana Perumal performs the wedding of Lord Shiva and Mother Ambika.,NA,The temple is open from 5.30 a.m. to 10.30 a.m. and 4.30 p.m. to 8.30 pm,"Sri Kasiviswanathar temple, Umayalpuram, Thanajavur dist.",+91  9442584410
274 Sivalayam,sri Gnanaparameswarar temple,"Gnanaparameswarar, Palasavananathar",NA,"Gnanambikai, Periyanayaki","Palasu, Vilwa","Gnana theertham, Chandra theertham",NA,1000 2000 years old,Thirumayanam,Thirumeignanam,Thanjavur,Tamil Nadu,"3 time puja is performed in the temple daily. Festivals are celebrated in the month of Purattasi (September October), Margazhi (December January) and Masi (February March).",Lord Shiva graces in the temple as a Swyambu Linga Murthy worshipped by Sage Abasthamba and the Four Vedas. It is said that a snake sometimes moves on the head of Shivalinga.,The temple is open from 6.00 a.m. to 11.00 a.m. and 5.00 p.m. to 8.00 p.m.,"Sri Gnana Parameswarar Temple, Naalur Mayanam, Thirucherai Post – 612 605, Kudavasal Taluk, Thanjavur district.",+91 94439 59839
Amman,sri Kannaki temple,Kannaki (Bhagawati Amman),NA,NA,NA,Mangala theertham,NA,1000 2000 years old,NA,Gudalur,Theni,Tamil Nadu,Chitra Poornima in April May,"Significance: There is a shrine for Vinayaka and for Lord Shiva with the Avudayar (a stage on which the Linga appears) only without Shivalinga. The temple is at a height of 4,380 feet above sea level",The temple is open from 5.30 a.m. to 5.30 p.m.,"Sri Kannaki Temple, Gudalur, Theni district.","+91  4554   231 019, 98425 55575."
Perumal,sri Venkatachalapathi temple,Venkatachalapathy,Venkatachalapathy,NA,Palm tree,Jatayu theertham,NA,500 1000 years old,NA,Thimmarajapuram,Tirunelveli,Tamil Nadu,Vaikunda Ekadasi in Margazhi (December January),Instead of the Flag Post (Dwajasthamba) there is a Lamp Post (Deepasthamba) in the temple.,The temple is open from 7.00 a.m. to 9.30 a.m. and 6.30 p.m. to 8.30 p.m.,"Sri Venkatachalapathy Temple, Thimmarajapuram, Tirunelveli dist.",NA
sivan,sri Mallikarjunaswami temple,Mallikarjunaswami,NA,Bramarambal,NA,The spring in deep ground,NA,1000 2000 years old,NA,Parvadhamalai,Tiruvannamalai,Tamil Nadu,"Chitra Poornima in April May, Adi 18 (July August), Adipooram Palabishekam (July August), 1st day of Purattasi (September), Iypasi Annabishekam (October November), Karthikai deepam (November December), first day of Margazhi (December January), Masi Shivrathri (February March) and Panguni Uthiram (March April) are the festivals celebrated in the temple",The devotee reaps the benefit of visiting Mount Kailash itself if he/she makes a round of this 28 km hill on the Poornima (full moon) days known as Girivalam. Sun rise and Sun set is an enjoyable view experience here as in Kanyakumari.,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.00 p.m.,"Sri Mallikarjunaswami Temple, Parvadhamalai, Tiruvannamalai district.",+91 94426 72283
sivan,sri Kailasanathar temple,Kailasanathar,NA,"Periyanayaki, Umai Ammai",NA,NA,NA,500 1000 years old,Naradapoondi,Narthampoondi,Tiruvannamalai,Tamil Nadu,"Brahammotsavam, Krithigai in November December, Masi Magam in February March, are the festivals celebrated in the temple.","Of the various shrines where Lord Muruga worshipped Lord Shiva for relief of his doshas (some adverse aspects), this is also an important temple.",The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.00 p.m.,"Shri Kailasanathar Temple, Narthampoondi, Tiruvannamalai district.",NA
Amman,sri Nalla Mariamman temple,Nalla Mariamman,NA,NA,NA,NA,NA,500 1000 years old,NA,Thozhudur,Tiruvarur,Tamil Nadu,18 days festival from the Sunday following the Chitra Poornima (April May) with car festival.,NA,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 9.00 p.m.,"Sri Nallamariamman Temple, Thozhudur – 612 804, Tiruvarur district.","+91  94443 54461, +91  94437 45732"
Perumal,sri Venugopala Parthasarathy temple,"Venugopala Parthasarathy,Sempon Ranga Perumal",NA,"Padmavathi, Sri Andal",NA,NA,NA,500 1000 years old,Shengan,Sengam,Tiruvannamalai,Tamil Nadu,The 18 day Brahmmotsavam in Vaikasi (May June) is very famous as the Lord would be coming in procession on Garuda (the eagle vehicle of Lord Vishnu). Also the sixth day of the festival would be a feast to the eyes of the devotees to see Lord and Andal exchanging garlands from the elephant vahana.,This is a Vishnu temple where Sri Rama worshipped.,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 a.m. to 8.00 p.m.,"Sri Venugopala Parthasarathy Temple, Sengam – 606 701, Tiruvannamalai district.",NA
sivan,sri Kungumavalli samedha Thanthondreeswarar temple,Thanthondreeswarar,NA,NA,NA,NA,NA,500 1000 years old,NA,Uraiyur,Thiruchirapalli,Tamil Nadu,NA,NA,NA,NA,NA
Amman,sri Angalaparameswari temple,Angalaparameswari,NA,NA,NA,NA,NA,500 years old,NA,Thurayur,Thiruchirapalli,Tamil Nadu,9 day Mayana Kollai festival beginning the next day of Shivarthri is celebrated in the temple,The presiding deity graces the devotees in the name of Periyanayaki in a lying (Sayana) form. The length is 8.75 feet.,The temple is open from 7.00 a.m. to 11.00 a.m. and 5.00 p.m. to 8.00 p.m.,"Sri Angalaparameswari Temple, Thurayur, Tiruchi district.",+91  90422 14140
sivan,sri Gayathri lingeswarar temple,Gayathri lingeswarar,NA,NA,NA,NA,NA,1000 2000 years old,NA,Bhavani,Erode,Tamil Nadu,NA,NA,NA,NA,"+ 91 4256 230 192, 98432 48588"
274 Sivalayam,sri Agastheeswarar temple,Agastheeswarar,NA,NA,NA,NA,NA,1000 2000 years old,NA,Agasthiyan palli,Nagapattinam,Tamil Nadu,NA,NA,NA,NA,+91 4369   250 012
274 Sivalayam,sri Darbaranyeswarar temple,"Darbaranyeswarar, Thirunallatreeswarar",NA,NA,NA,NA,NA,1000 2000 years old,NA,Thirunallar,Karaikal,Pondicherry,NA,NA,NA,NA,"+91 4368   236 530, 236 504, 94422 36504 ,223 207"
sivan,sri Naganathar temple,Naganathar,NA,NA,NA,NA,NA,500 1000 years old,NA,Peraiyur,Pudukkottai,Tamil Nadu,NA,NA,NA,NA,"+91  4322   221084, 9486185259"
vinayagar,sri Vagana pillaiyar temple,Vinayagar,NA,NA,NA,NA,NA,500 years old,NA,Attur,Salem,Tamil Nadu,NA,NA,NA,NA,NA
sivan,sri Viruthachaleswarar temple,Viruthachaleswarar,NA,NA,NA,NA,NA,500 1000 years old,NA,Venganoor,Salem,Tamil Nadu,NA,NA,NA,NA,"+91438 292 043, +9194429 24707"
274 Sivalayam,sri Abathsagayeswarar temple,Abathsagayeswarar,NA,NA,NA,NA,NA,1000 2000 years old,NA,Aduthurai,Thanjavur,Tamil Nadu,NA,NA,NA,NA,"+91   94434 63119, 94424 25809"
sivan,sri Kailasanathar temple,Kailasanathar,NA,NA,NA,NA,NA,500 1000 years old,NA,kodaganallur,Tirunelveli,Tamil Nadu,NA,NA,NA,NA,+91  99659 23124
sivan,sri Kailasanathar temple,Kailasanathar,NA,NA,NA,NA,NA,500 1000 years old,NA,Murappanadu,Tirunelveli,Tamil Nadu,NA,NA,NA,NA,+91  98424 04554.
sivan,sri Ammanathar temple,Ammanathar,NA,NA,NA,NA,NA,500 years old,NA,Seranmahadevi,Tirunelveli,Tamil Nadu,NA,NA,NA,NA,"+91  4634   265 111, +91  94422 26511."
